name,type,state,county,city,zip
California Parks & Recreation - Law Enforcement,Special jurisdiction,CA,Sacramento,Sacramento,95814
Yonkers Police Department,Local police department,NY,Westchester,Yonkers,10701
Toledo Police Department,Local police department,OH,Lucas,Toledo,43624
Anne Arundel County Police Department,Local police department,MD,Anne Arundel,Millersville,21108
Baton Rouge Police Department,Local police department,LA,East Baton Rouge,Baton Rouge,70802
Collier County Sheriff's Office,Sheriff's office,FL,Collier,Naples,34112
Aurora Police Department,Local police department,CO,Arapahoe,Aurora,80012
Lee County Sheriff's Office,Sheriff's office,FL,Lee,Fort Myers,33912
Arlington Police Department,Local police department,TX,Tarrant,Arlington,76011
Polk County Sheriff's Office,Sheriff's office,FL,Polk,Bartow,33830
St. Paul Police Department,Local police department,MN,Ramsey,St. Paul,55101
Oregon State Police,Primary state law enforcement agency,OR,Marion,Salem,97317
Mississippi Highway Safety Patrol,Primary state law enforcement agency,MS,Hinds,Jackson,39216
Greensboro Police Department,Local police department,NC,Guilford,Greensboro,27402
Calcasieu Parish Sheriff's Office,Sheriff's office,LA,Calcasieu,Lake Charles,70602
Cobb County Police Department,Local police department,GA,Cobb,Marietta,30060
Los Angeles World Airports Police,Special jurisdiction,CA,Los Angeles,Los Angeles,90045
Jefferson County Sheriff's Office,Sheriff's office,AL,Jefferson,Birmingham,35203
Henrico County Division of Police,Local police department,VA,Henrico,Henrico,23273
Pima County Sheriff's Dept.,Sheriff's office,AZ,Pima,Tucson,85714
Lexington Division of Police,Local police department,KY,Fayette,Lexington,40507
Prince William County Police Department,Local police department,VA,Prince William,Prince William,22192
Jefferson County Sheriff's Office,Sheriff's office,CO,Jefferson,Golden,80401
Savannah-Chatham Metropolitan Police Department,Local police department,GA,Chatham,Savannah,31412
Gwinnett County Sheriff's Office,Sheriff's office,GA,Gwinnett,Lawrenceville,30043
Minnesota State Patrol,Primary state law enforcement agency,MN,Ramsey,St. Paul,55101
Passaic County Sheriff's Office,Sheriff's office,NJ,Passaic,Wayne,07470
New Mexico State Police,Primary state law enforcement agency,NM,Santa Fe,Santa Fe,87507
