name,type,state,county,city,zip
East Fallowfield Township Police Department,Local police department,PA,Chester,Coatesville,19320
Dekalb Police Department,Local police department,TX,Bowie,Dekalb,75559
Tomahawk Police Department,Local police department,WI,Lincoln,Tomahawk,54487
Sykesville Police Department,Local police department,MD,Carroll,Sykesville,21784
Glendale Police Department,Local police department,OH,Hamilton,Glendale,45246
Basile Police Department,Local police department,LA,Evangeline,Basile,70515
Cass County Sheriff's Office,Sheriff's office,IA,Cass,Atlantic,50022
Alexander County Sheriff's Office,Sheriff's office,IL,Alexander,Cairo,62914
Leoni Township Police Department,Local police department,MI,Jackson,Michigan Center,49254
Bryson City Police Department,Local police department,NC,Swain,Bryson City,28713
East Troy Village Police Department,Local police department,WI,Walworth,East Troy,53120
Morgan's Point Resort Police Dept,Local police department,TX,Bell,Belton,76513
Lathrup Village Police Department,Local police department,MI,Oakland,Southfield,48076
Topsail Beach Police Department,Local police department,NC,Pender,Topsail Beach,28445
Kearney County Sheriff's Office,Sheriff's office,NE,Kearney,Minden,68959
Rio Grande County Sheriff's Office,Sheriff's office,CO,Rio Grande,Del Norte,81132
Neodesha Police Department,Local police department,KS,Wilson,Neodesha,66757
Whiteland Police,Local police department,IN,Johnson,Whiteland,46184
Moscow Mills Police Department,Local police department,MO,Lincoln,Moscow Mills,63362
St. James Police Dept,Local police department,MO,Phelps,St James,65559
Clearfield Borough Police Department,Local police department,PA,Clearfield,Clearfield,16830
Bandon Police Department,Local police department,OR,Coos,Bandon,97411
Calhoun Falls Police Department,Local police department,SC,Abbeville,Calhoun Falls,29628
Sherman County Sheriff's Office,Sheriff's office,KS,Sherman,Goodland,67735
Marion County Sheriff's Office,Sheriff's office,KS,Marion,Marion,66861
Lac Courte Oreilles Tribal Police,Local police department,WI,Sawyer,Hayward,54843
Mapleton Police Department,Local police department,UT,Utah,Mapleton,84664
Mora Police Department,Local police department,MN,Kanabec,Mora,55051
Hale County Sheriff's Office,Sheriff's office,AL,Hale,Greensboro,36744
Gibbsboro Borough Police,Local police department,NJ,Camden,Gibbsboro,08026
East Earl Township Police Department,Local police department,PA,Lancaster,East Earl,17519
Drew Police Department,Local police department,MS,Sunflower,Drew,38737
Saugatuck - Douglas Police Department,Local police department,MI,Allegan,Douglas,49406
Hubbard Township Police Department,Local police department,OH,Trumbull,Hubbard,44425
Hughes County Sheriff's Office,Sheriff's office,OK,Hughes,Holdenville,74848
Carroll County Sheriff's Office,Sheriff's office,MO,Carroll,Carrollton,64633
Ouray County Sheriff's Office,Sheriff's office,CO,Ouray,Ouray,81427
Noble County Sheriff's Office,Sheriff's office,OH,Noble,Caldwell,43724
Lincoln Heights Police Department,Local police department,OH,Hamilton,Cincinnati,45215
South Heidelberg Township Police Department,Local police department,PA,Berks,Wernersville,19565
Coushatta Police Department,Local police department,LA,Red River,Coushatta,71019
Hartville Police Department,Local police department,OH,Stark,Hartville,44632
Johnson County Sheriff's Office,Sheriff's office,IL,Johnson,Vienna,62995
Greensburg Police Department,Local police department,KY,Green,Greensburg,42743
Benton Police Department,Local police department,KY,Marshall,Benton,42025
Bloomer Police Department,Local police department,WI,Chippewa,Bloomer,54724
Dunstable Police Department,Local police department,MA,Middlesex,Dunstable,01827
Foristell Police Department,Local police department,MO,St. Charles,Foristell,63348
Hinsdale Police Department,Local police department,NH,Cheshire,Hinsdale,03451
O'Neill Police Dept,Local police department,NE,Holt,O'Neill,68763
Russell Township Police Department,Local police department,OH,Geauga,Novelty,44072
Blanchester Police Department,Local police department,OH,Clinton,Blanchester,45107
Splendora Police Department,Local police department,TX,Montgomery,Splendora,77372
Hinton Police Department,Local police department,WV,Summers,Hinton,25951
Lyons Village Police Department,Local police department,NY,Wayne,Lyons,14489
Kingston Police Department,Local police department,OK,Marshall,Kingston,73439
Amery Police Department,Local police department,WI,Polk,Amery,54001
West Newbury Police Departrment,Local police department,MA,Essex,West Newbury,01985
Monroe City Police Department,Local police department,MO,Monroe,Monroe City,63456
Glasgow Police Department,Local police department,MT,Valley,Glasgow,59230
Calera Police Department,Local police department,OK,Bryan,Calera,74730
Middlebury Police,Local police department,IN,Elkhart,Middlebury,46540
East Coventry Township Police Department,Local police department,PA,Chester,Pottstown,19465
Cabool Police Department,Local police department,MO,Texas,Cabool,65689
Greene County Sheriff's Office,Sheriff's office,IA,Greene,Jefferson,50129
Candler County Sheriff's Office,Sheriff's office,GA,Candler,Metter,30439
Okemah Police Department,Local police department,OK,Okfuskee,Okemah,74859
Kiel Police Department,Local police department,WI,Manitowoc,Kiel,53042
Whitney Police Department,Local police department,TX,Hill,Whitney,76692
Stowe Township Police Department,Local police department,PA,Allegheny,Mc Kees Rocks,15136
Mosinee Police Department,Local police department,WI,Marathon,Mosinee,54455
Kewaskum Police Department,Local police department,WI,Washington,Kewaskum,53040
Coal County Sheriff's Office,Sheriff's office,OK,Coal,Coalgate,74538
Colfax County Sheriff's Office,Sheriff's office,NE,Colfax,Schuyler,68661
Granite Quarry Police Department,Local police department,NC,Rowan,Granite Quarry,28072
Seville Police Department,Local police department,OH,Medina,Seville,44273
Charlevoix Police Department,Local police department,MI,Charlevoix,Charlevoix,49720
Beverly Police,Local police department,NJ,Burlington,Beverly,08010
Russell Springs Police Department,Local police department,KY,Russell,Russell Springs,42642
Warren County Sheriff's Office,Sheriff's office,IN,Warren,Williamsport,47993
Weston County Sheriff's Office,Sheriff's office,WY,Weston,Newcastle,82701
Galena Police Department,Local police department,KS,Cherokee,Galena,66739
Berne Police,Local police department,IN,Adams,Berne,46711
Corcoran Police Department,Local police department,MN,Hennepin,Corcoran,55340
Harriman Village Police Department,Local police department,NY,Orange,Harriman,10926
Musselshell County Sheriff's Office,Sheriff's office,MT,Musselshell,Roundup,59072
Ranlo Police Department,Local police department,NC,Gaston,Ranlo,28054
BirdsBorough Borough Police Department,Local police department,PA,Berks,Birdsboro,19508
Granite Shoals Police Department,Local police department,TX,Burnet,Granite Shoals,78654
Hayward Police Department,Local police department,WI,Sawyer,Hayward,54843
Paoli Police,Local police department,IN,Orange,Paoli,47454
Wolf Point Police Department,Local police department,MT,Roosevelt,Wolf Point,59201
Perryton Police Department,Local police department,TX,Ochiltree,Perryton,79070
Morrison Police Dept,Local police department,IL,Whiteside,Morrison,61270
Ely Police Department,Local police department,MN,St. Louis,Ely,55731
Sheridan County Sheriff's Office,Sheriff's office,MT,Sheridan,Plentywood,59254
Winchester Police Department,Local police department,NH,Cheshire,Winchester,03470
Coopersburg Borough Police Department,Local police department,PA,Lehigh,Coopersburg,18036
Lancaster Police Department,Local police department,WI,Grant,Lancaster,53813
Shinnston Police Department,Local police department,WV,Harrison,Shinnston,26431
Ringgold County Sheriff's Office,Sheriff's office,IA,Ringgold,Mount Ayr,50854
Louisa Police Department,Local police department,KY,Lawrence,Louisa,41230
Iron River Police Department,Local police department,MI,Iron,Iron River,49935
Norwood Police Department,Local police department,NC,Stanly,Norwood,28128
Okfuskee County Sheriff's Office,Sheriff's office,OK,Okfuskee,Okemah,74859
Westport Police Department,Local police department,WA,Grays Harbor,Westport,98595
Sabattus Police Department,Local police department,ME,Androscoggin,Sabattus,04280
Winnsboro Police Department,Local police department,LA,Franklin,Winnsboro,71295
Seymour Police Department,Local police department,TX,Baylor,Seymour,76380
Maize Police Department,Local police department,KS,Sedgwick,Maize,67101
White County Sheriff's Office,Sheriff's office,IL,White,Carmi,62821
Mount Desert Police Department,Local police department,ME,Hancock,Northeast Harbor,04662
Forsyth Police Department,Local police department,MO,Taney,Forsyth,65653
Belle Plaine Police Department,Local police department,MN,Scott,Belle Plaine,56011
Dillon Police Department,Local police department,MT,Beaverhead,Dillon,59725
Conewago Township Police Department,Local police department,PA,Adams,Hanover,17331
Sharpsburg Police Department,Local police department,NC,Nash,Sharpsburg,27878
Hoisington Police Department,Local police department,KS,Barton,Hoisington,67544
Holton Police Department,Local police department,KS,Jackson,Holton,66436
Richlands Police Department,Local police department,NC,Onslow,Richlands,28574
Highland County Sheriff's Office,Sheriff's office,VA,Highland,Monterey,24465
Cave City Police Department,Local police department,KY,Barren,Cave City,42127
Bicknell Police,Local police department,IN,Knox,Bicknell,47512
Shillington Police Department,Local police department,PA,Berks,Shillington,19607
Garvin County Sheriff's Office,Sheriff's office,OK,Garvin,Pauls Valley,73075
Grafton Police Department,Local police department,WV,Taylor,Grafton,26354
Lincoln County Sheriff's Office,Sheriff's office,CO,Lincoln,Hugo,80821
Berlin Police Department,Local police department,MA,Worcester,Berlin,01503
Deephaven Police Department,Local police department,MN,Hennepin,Deephaven,55331
Carrollton Police Department,Local police department,OH,Carroll,Carrollton,44615
Black River Falls Police Department,Local police department,WI,Jackson,Black River Falls,54615
Crowley County Sheriff's Office,Sheriff's office,CO,Crowley,Ordway,81063
North East Police Department,Local police department,PA,Erie,North East,16428
Brazoria Police Dept,Local police department,TX,Brazoria,Brazoria,77422
Coeburn Police Department,Local police department,VA,Wise,Coeburn,24230
Clinton Police,Local police department,IN,Vermillion,Clinton,47842
Ware Shoals Police Department,Local police department,SC,Greenwood,Ware Shoals,29692
Madison County Sheriff's Office,Sheriff's office,IA,Madison,Winterset,50273
Benson Police Department,Local police department,MN,Swift,Benson,56215
Auburn Police Department,Local police department,NH,Rockingham,Auburn,03032
Archer County Sheriff's Office,Sheriff's office,TX,Archer,Archer City,76351
Chippewa Township Police Department,Local police department,PA,Beaver,Beaver Falls,15010
Owensville Police Department,Local police department,MO,Gasconade,Owensville,65066
Colonial Heights (City) Sheriff's Office,Sheriff's office,VA,Colonial Heights City,Colonial Heights,23834
Danbury Township Police Department,Local police department,OH,Ottawa,Marblehead,43440
Spencer Police,Local police department,IN,Owen,Spencer,47460
Hooks Police Department,Local police department,TX,Bowie,Hooks,75561
Yemassee Police Department,Local police department,SC,Hampton,Yemassee,29945
Warren Police Department,Local police department,MA,Worcester,Warren,01083
West Police Department,Local police department,TX,McLennan,West,76691
Kickapoo Tribal Police Department,Local police department,KS,Brown,Horton,66439
Hebron Police,Local police department,IN,Porter,Hebron,46341
New Buffalo Police Department,Local police department,MI,Berrien,New Buffalo,49117
Chandler Police Department,Local police department,OK,Lincoln,Chandler,74834
Sinton Police Department,Local police department,TX,San Patricio,Sinton,78387
Glenrock Police Dept,Local police department,WY,Converse,Glenrock,82637
Ontwa Township - Edwardsburg Police Department,Local police department,MI,Cass,Edwardsburg,49112
Sullivan Police,Local police department,IN,Sullivan,Sullivan,47882
Morganfield Police Department,Local police department,KY,Union,Morganfield,42437
Ellsworth County Sheriff's Office,Sheriff's office,KS,Ellsworth,Ellsworth,67439
Blair County Sheriff's Office,Sheriff's office,PA,Blair,Hollidaysburg,16648
Catron County Sheriff's Office,Sheriff's office,NM,Catron,Reserve,87830
Cheyenne County Sheriff's Office,Sheriff's office,NE,Cheyenne,Sidney,69162
Robersonville Police Department,Local police department,NC,Martin,Robersonville,27871
New Sewickley Township Police Department,Local police department,PA,Beaver,Rochester,15074
Pocahontas County Sheriff's Office,Sheriff's office,IA,Pocahontas,Pocahontas,50574
Boyertown Borough Police Department,Local police department,PA,Berks,Boyertown,19512
Jefferson County Sheriff's Office,Sheriff's office,NE,Jefferson,Fairbury,68352
West Point Police Dept,Local police department,NE,Cuming,West Point,68788
Morris County Sheriff's Office,Sheriff's office,KS,Morris,Council Grove,66846
Daingerfield Police Department,Local police department,TX,Morris,Daingerfield,75638
Prospect Park Borough Police Department,Local police department,PA,Delaware,Prospect Park,19076
Hummelstown Borough Police Department,Local police department,PA,Dauphin,Hummelstown,17036
Varnville Police Department,Local police department,SC,Hampton,Varnville,29944
Ridgefield Police Department,Local police department,WA,Clark,Ridgefield,98642
South Hutchinson Police Department,Local police department,KS,Reno,South Hutchinson,67505
Knox Police,Local police department,IN,Starke,Knox,46534
St. Michaels Police Department,Local police department,MD,Talbot,St. Michaels,21663
Cozad Police Dept,Local police department,NE,Dawson,Cozad,69130
Grand Saline Police Department,Local police department,TX,Van Zandt,Grand Saline,75140
Saltville Police Department,Local police department,VA,Smyth,Saltville,24370
Clarion County Sheriff's Office,Sheriff's office,PA,Clarion,Clarion,16214
Walnut Cove Police Department,Local police department,NC,Stokes,Walnut Cove,27052
Murphy Police Department,Local police department,NC,Cherokee,Murphy,28906
Tulia Police Department,Local police department,TX,Swisher,Tulia,79088
Whitesboro Police Department,Local police department,TX,Grayson,Whitesboro,76273
Pottsboro Police Department,Local police department,TX,Grayson,Pottsboro,75076
Thiensville Police Department,Local police department,WI,Ozaukee,Thiensville,53092
Red Lodge Police Department,Local police department,MT,Carbon,Red Lodge,59068
Shenandoah Borough Police Department,Local police department,PA,Schuylkill,Shenandoah,17976
Pearisburg Police Department,Local police department,VA,Giles,Pearisburg,24134
Atoka County Sheriff's Office,Sheriff's office,OK,Atoka,Atoka,74525
Newcastle Police Dept,Local police department,WY,Weston,Newcastle,82701
Cedar Springs Police Department,Local police department,MI,Kent,Cedar Springs,49319
Laguna Vista Police Department,Local police department,TX,Cameron,Laguna Vista,78578
Slatington Borough Police Department,Local police department,PA,Lehigh,Slatington,18080
Hardeman County Sheriff's Office,Sheriff's office,TX,Hardeman,Quanah,79252
Garza County Sheriff's Office,Sheriff's office,TX,Garza,Post,79356
Howe Police Department,Local police department,TX,Grayson,Howe,75459
Benton Police Department,Local police department,TN,Polk,Benton,37307
Pineville Police Department,Local police department,KY,Bell,Pineville,40977
New Holstein Police Department,Local police department,WI,Calumet,New Holstein,53061
Gorham Police Department,Local police department,NH,Coos,Gorham,03581
Celina Police Department,Local police department,TX,Collin,Celina,75009
Haughton Police Department,Local police department,LA,Bossier,Haughton,71037
Flora Police Department,Local police department,MS,Madison,Flora,39071
Harmar Township Police Department,Local police department,PA,Allegheny,Cheswick,15024
Rome Township Police Department,Local police department,WI,Adams,Nekoosa,54457
Hardwick Police Department,Local police department,VT,Caledonia,Hardwick,05843
Hebron Police Department,Local police department,OH,Licking,Hebron,43025
Denver City Police Department,Local police department,TX,Yoakum,Denver City,79323
West Manheim Township Police Department,Local police department,PA,York,Hanover,17331
Choctaw County Sheriff's Office,Sheriff's office,OK,Choctaw,Hugo,74743
Moore Township Police Department,Local police department,PA,Northampton,Bath,18014
Pope County Sheriff's Office,Sheriff's office,MN,Pope,Glenwood,56334
McLean County Sheriff's Office,Sheriff's office,KY,McLean,Calhoun,42327
Mississippi Gulf Coast Community College Police Dept.,Special jurisdiction,MS,Stone,Perkinston,39573
Lipscomb Police Department,Local police department,AL,Jefferson,Lipscomb,35020
Sea Ranch Lakes Police Dept.,Local police department,FL,Broward,Fort Lauderdale,33308
Georgiana Police Department,Local police department,AL,Butler,Georgiana,36033
College of Marin Police,Special jurisdiction,CA,Marin,Kentfield,94904
McLennan Community College Police Dept.,Special jurisdiction,TX,McLennan,Waco,76708
Hidalgo County Constable Pct. 2,Constable/marshal,TX,Hidalgo,San Juan,78589
Lake Helen Police Department,Local police department,FL,Volusia,Lake Helen,32744
Arapahoe Community College Police Department,Special jurisdiction,CO,Arapahoe,Littleton,80160
Waldo Police Department,Local police department,FL,Alachua,Waldo,32694
Lookout Mountain Police Department,Local police department,GA,Walker,Lookout Mountain,30750
Denton County Constable Pct. 1,Constable/marshal,TX,Denton,Denton,76201
Jefferson County Constable Pct. 1,Constable/marshal,TX,Jefferson,Beaumont,77701
Moundville Police Department,Local police department,AL,Hale,Moundville,35474
Wrightsville Police Department,Local police department,GA,Johnson,Wrightsville,31096
Blackville Police Department,Local police department,SC,Barnwell,Blackville,29817
Clay County Parks Dept.,Special jurisdiction,MO,Clay,Smithville,64089
Kentucky Division of Animal Health - Field Enforcement,Special jurisdiction,KY,Franklin,Frankfort,40602
Kansas Securities Commissioner,Special jurisdiction,KS,Shawnee,Topeka,66603
Evansdale Police Department,Local police department,IA,Black Hawk,Evansdale,50707
England Police Department,Local police department,AR,Lonoke,England,72046
Southwest Virginia Mental Health Institute,Special jurisdiction,VA,Smyth,Marion,24354
Union County Sheriff's Office,Sheriff's office,SD,Union,Elk Point,57025
Vernon Police Department,Local police department,AL,Lamar,Vernon,35592
Florence Regional Airport Police Department,Special jurisdiction,SC,Florence,Florence,29506
Rancho Viejo Police Department,Local police department,TX,Cameron,Rancho Viejo,78575
Kellogg Police Department,Local police department,ID,Shoshone,Kellogg,83837
Lee County High School Police,Special jurisdiction,NC,Lee,Sanford,27330
Woodrow Wilson Rehabilitation Center Police Dept.,Special jurisdiction,VA,Augusta,Fishersville,22939
Stark County Park District - Enforcement Division,Special jurisdiction,OH,Stark,Canton,44708
Blountsville Police Department,Local police department,AL,Blount,Blountsville,35031
Tennille Police Department,Local police department,GA,Washington,Tennille,31089
Putnam County Sheriff's Office,Sheriff's office,IL,Putnam,Hennepin,61327
Hawkinsville Police Department,Local police department,GA,Pulaski,Hawkinsville,31036
Smith County Constable Pct. 5,Constable/marshal,TX,Smith,Lindale,75771
Charlottesville-Albemarle Airport Police Dept.,Special jurisdiction,VA,Albemarle,Charlottesville,22911
Denton County Constable Pct. 4,Constable/marshal,TX,Denton,Roanoke,76262
Mobridge Police Department,Local police department,SD,Walworth,Mobridge,57601
Pawnee County Sheriff's Office,Sheriff's office,KS,Pawnee,Larned,67550
Vicksburg Police Department,Local police department,MI,Kalamazoo,Vicksburg,49097
New Hampshire Hospital Campus Police,Special jurisdiction,NH,Merrimack,Concord,03301
Mt. Crested Butte Police Department,Local police department,CO,Gunnison,Mt Crested Butte,81225
Waskom Police Department,Local police department,TX,Harrison,Waskom,75692
Royersford Borough Police Department,Local police department,PA,Montgomery,Royersford,19468
Cherokee County Marshal's Office,Constable/marshal,GA,Cherokee,Canton,30114
Fort Lewis College Police Department,Special jurisdiction,CO,La Plata,Durango,81301
University of Pittsburgh - Greensburg Police,Special jurisdiction,PA,Westmoreland,Greensburg,15601
Miami Police Department,Local police department,AZ,Gila,Miami,85539
Platteville Police Dept,Local police department,CO,Weld,Platteville,80651
East Dubuque Police Dept,Local police department,IL,Jo Daviess,East Dubuque,61025
Dawson County Sheriff's Office,Sheriff's office,TX,Dawson,Lamesa,79331
Algona Police Department,Local police department,WA,King,Algona,98001
Perry Police Department,Local police department,UT,Box Elder,Perry,84302
Santa Fe I.S.D. Police Dept.,Special jurisdiction,TX,Galveston,Santa Fe,77510
Mount Vernon Police Department,Local police department,AL,Mobile,Mount Vernon,36560
Randolph County Sheriff's Office,Sheriff's office,GA,Randolph,Cuthbert,39840
Idaho Springs Police Department,Local police department,CO,Clear Creek,Idaho Springs,80452
Mesa Community College Police,Special jurisdiction,AZ,Maricopa,Mesa,85202
Jenks Public Schools Campus Police,Special jurisdiction,OK,Tulsa,"Jenks,",74037
Clarion Police Department,Local police department,IA,Wright,Clarion,50525
Barbour County Sheriff's Office,Sheriff's office,WV,Barbour,Philippi,26416
Union County Sheriff's Office,Sheriff's office,KY,Union,Morganfield,42437
Cherry Hospital Police Dept,Special jurisdiction,NC,Wayne,Goldsboro,27530
Ardmore Police Department,Local police department,AL,Limestone,Ardmore,38449
Livingston Police Department,Local police department,AL,Sumter,Livingston,35470
Marshall County Sheriff's Office,Sheriff's office,KS,Marshall,Marysville,66508
Los Lunas School Resource Department,Special jurisdiction,NM,Valencia,Los Lunas,87031
Chaffey College Police,Special jurisdiction,CA,San Bernardino,Rancho Cucamonga,91737
Sul Ross University Police Dept.,Special jurisdiction,TX,Brewster,Alpine,79832
Wingate Police Department,Local police department,NC,Union,Wingate,28174
Jefferson Police Department,Local police department,IA,Greene,Jefferson,50129
Texarkana I.S.D. Police Department,Special jurisdiction,TX,Bowie,Texarkana,75503
Wrangell Police Dept.,Local police department,AK,Wrangell Petersburg,Wrangell,99929
Cherokee Village Police Department,Local police department,AR,Sharp,Cherokee Village,72525
Porterdale Police Department,Local police department,GA,Newton,Porterdale,30070
Marks Police Department,Local police department,MS,Quitman,Marks,38646
St. Johns Police Department,Local police department,AZ,Apache,St. Johns,85936
Virginia Military Institute Police Department,Special jurisdiction,VA,Rockbridge,Lexington,24450
New Castle Police Department,Local police department,CO,Garfield,New Castle,81647
Trenton Police Department,Local police department,GA,Dade,Trenton,30752
Cameron County Constable Pct. 6,Constable/marshal,TX,Cameron,Los Fresnos,78566
Oakland Police Department,Local police department,FL,Orange,Oakland,34760
Gaston Community College Police,Special jurisdiction,NC,Gaston,Dallas,28034
Elizabeth City State University Police,Special jurisdiction,NC,Pasquotank,Elizabeth City,27909
Candia Police Department,Local police department,NH,Rockingham,Candia,03034
Lane Community College Dept of Public Safety,Special jurisdiction,OR,Lane,Eugene,97405
Hahira Police Department,Local police department,GA,Lowndes,Hahira,31632
East Newark Police,Local police department,NJ,Hudson,East Newark,07029
Terre Haute International Airport Police,Special jurisdiction,IN,Vigo,Terre Haute,47803
Hampton Police Department,Local police department,IA,Franklin,Hampton,50441
Appalachian Behavioral Healthcare Police Dept.,Special jurisdiction,OH,Athens,Cambridge,43725
Orange City Police Department,Local police department,IA,Sioux,Orange City,51041
Uniontown Police Department,Local police department,AL,Perry,Uniontown,36786
Bannockburn Police Dept,Local police department,IL,Lake,Bannockburn,60015
Garrard County Sheriff's Office,Sheriff's office,KY,Garrard,Lancaster,40444
Fremont County Sheriff's Office,Sheriff's office,IA,Fremont,Sidney,51652
Monterey Peninsula Airport District Police,Special jurisdiction,CA,Monterey,Monterey,93940
Concord University Security,Special jurisdiction,WV,Mercer,Athens,24712
Buena Vista Police Department,Local police department,CO,Chaffee,Buena Vista,81211
Wisconsin Department of Revenue - Alcohol & Tobacco Enforcement,Special jurisdiction,WI,Dane,Madison,53708
Nevada Secretary of State,Special jurisdiction,NV,Clark,,
Montgomery County Sheriff's Office,Sheriff's office,MS,Montgomery,Winona,38967
Waukon Police Department,Local police department,IA,Allamakee,Waukon,52172
Cairo Police Dept,Local police department,IL,Alexander,Cairo,62914
Kenly Police Department,Local police department,NC,Johnston,Kenly,27542
St. James Police Department,Local police department,MN,Watonwan,St. James,56081
Byron Police Dept,Local police department,IL,Ogle,Byron,61010
Hesperia Unified School District Police Department,Special jurisdiction,CA,San Bernardino,Hesperia,92345
Le Claire Police Department,Local police department,IA,Scott,Le Claire,52753
Eagle Grove Police Department,Local police department,IA,Wright,Eagle Grove,50533
Resaca Police Department,Local police department,GA,Gordon,Resaca,30735
Lubbock I.S.D. Police Dept.,Special jurisdiction,TX,Lubbock,Lubbock,79401
Parachute Police Dept,Local police department,CO,Garfield,Parachute,81635
Scottdale Borough Police Department,Local police department,PA,Westmoreland,Scottdale,15683
Pike County Sheriff's Office,Sheriff's office,IN,Pike,Petersburg,47567
Greenfield Police Department,Local police department,TN,Weakley,Greenfield,38230
Bowling Green Police Department,Local police department,FL,Hardee,Bowling Green,33834
Casey Police Dept,Local police department,IL,Effingham,Casey,62420
Wilbarger County Sheriff's Office,Sheriff's office,TX,Wilbarger,Vernon,76384
Breese Police Dept,Local police department,IL,Clinton,Breese,62230
Crested Butte Marshal's Office,Local police department,CO,Gunnison,Crested Butte,81224
Shenandoah Police Department,Local police department,IA,Page,Shenandoah,51601
Elkins Police Department,Local police department,AR,Washington,Elkins,72727
Utah State Fire Marshal - Arson Investigation Division,Special jurisdiction,UT,Salt Lake,Murray,84123
Huntsville Police Department,Local police department,AR,Madison,Huntsville,72740
Arizona Western College Police Department,Special jurisdiction,AZ,Yuma,Yuma,85366
Victor Valley Community College Police,Special jurisdiction,CA,San Bernardino,Victorville,92395
Cresco Police Department,Local police department,IA,Howard,Cresco,52136
Salmon Police Department,Local police department,ID,Lemhi,Salmon,83467
Leslie County Sheriff's Office,Sheriff's office,KY,Leslie,Hyden,41749
Henderson State University,Special jurisdiction,AR,Clark,Arkadelphia,71999
Fillmore County Sheriff's Office,Sheriff's office,NE,Fillmore,Geneva,68361
Fulton County Sheriff's Office,Sheriff's office,AR,Fulton,Salem,72576
Weaver Police Department,Local police department,AL,Calhoun,Weaver,36277
Lemhi County Sheriff's Office,Sheriff's office,ID,Lemhi,Salmon,83467
Worcester Airport Police,Special jurisdiction,MA,Worcester,Worcester,01602
Woodson County Sheriff's Office,Sheriff's office,KS,Woodson,Yates Center,66783
Augusta Police Department,Local police department,AR,Woodruff,Augusta,72006
Pine Mountain Police Dept,Local police department,GA,Harris,Pine Mountain,31822
Pickens County Sheriff's Office,Sheriff's office,AL,Pickens,Carrollton,35447
Northwest Shoals Community College Police,Special jurisdiction,AL,Colbert,Muscle Shoals,35661
Delaware Township Police,Local police department,NJ,Hunterdon,Sergeantsville,08557
Howard County Sheriff's Office,Sheriff's office,IA,Howard,Cresco,52136
Lincoln County Sheriff's Office,Sheriff's office,WV,Lincoln,Hamlin,25523
Little Flock Police Department,Local police department,AR,Benton,Rogers,72756
La Grange Police Department,Local police department,NC,Lenoir,La Grange,28551
Krebs Police Department,Local police department,OK,Pittsburg,Krebs,74554
Utah Valley State College Police Dept,Special jurisdiction,UT,Utah,Orem,84058
Sumiton Police Department,Local police department,AL,Walker,Sumiton,35148
Schuylkill County District Attorney's Office,Special jurisdiction,PA,Schuylkill,Pottsville,17901
Verona Police Department,Local police department,MS,Lee,Verona,38879
Bean Station Police Department,Local police department,TN,Grainger,Bean Station,37708
Kimberly/Hansen Police Department,Local police department,ID,Twin Falls,Kimberly,83341
Ness County Sheriff's Office,Sheriff's office,KS,Ness,Ness City,67560
Mahomet Police Dept,Local police department,IL,Champaign,Mahomet,61853
Prairie County Sheriff's Office,Sheriff's office,AR,Prairie,Des Arc,72040
Black River Technical College Police,Special jurisdiction,AR,Randolph,Pocahontas,72455
Gooding Police Department,Local police department,ID,Gooding,Gooding,83330
Stafford Police Department,Local police department,CT,Tolland,Stafford,06076
Blairsville Police Department,Local police department,GA,Union,Blairsville,30514
Ferris Police Department,Local police department,TX,Ellis,Ferris,75125
Wray Police Department,Local police department,CO,Yuma,Wray,80758
Craven Community College Police Dept,Special jurisdiction,NC,Craven,New Bern,28562
Red Bay Police Department,Local police department,AL,Franklin,Red Bay,35582
Aledo Police Dept,Local police department,IL,Mercer,Aledo,61231
Stillwater County Sheriff's Office,Sheriff's office,MT,Stillwater,Columbus,59019
Reidsville Police Department,Local police department,GA,Tattnall,Reidsville,00030
Selbyville Police Department,Local police department,DE,Sussex,Selbyville,19975
Eldridge Police Department,Local police department,IA,Scott,Eldridge,52748
Oak Hill Police Department,Local police department,FL,Volusia,Oak Hill,32759
Warson Woods Police Department,Local police department,MO,St. Louis,Warson Woods,63122
McCormick Police Department,Local police department,SC,McCormick,McCormick,29835
Sac County Sheriff's Office,Sheriff's office,IA,Sac,Sac City,50583
Humboldt Police Department,Local police department,IA,Humboldt,Humboldt,50548
College of The Mainland Police Dept.,Special jurisdiction,TX,Galveston,Texas City,77591
Gillespie Police Dept,Local police department,IL,Macoupin,Gillespie,62033
Lafayette County Sheriff's Office,Sheriff's office,AR,Lafayette,Lewisville,71845
Sandown Police Department,Local police department,NH,Rockingham,Sandown,03873
Eldorado Police Dept,Local police department,IL,Saline,Eldorado,62930
Geauga County Park District Rangers,Special jurisdiction,OH,Geauga,Chardon,44024
University of Wisconsin - Platteville Police Department,Special jurisdiction,WI,Grant,Platteville,53818
Northeastern Oklahoma A & M Police,Special jurisdiction,OK,Ottawa,"Miami,",74354
John A. Logan College Police Dept,Special jurisdiction,IL,Williamson,Carterville,62918
Shannon Hills Police Department,Local police department,AR,Saline,Shannon Hills,72103
Dupo Police Dept,Local police department,IL,St. Clair,Dupo,62239
Harlem Police Department,Local police department,GA,Columbia,Harlem,30814
Pepin County Sheriff's Office,Sheriff's office,WI,Pepin,Durand,54736
Midland College Police Dept.,Special jurisdiction,TX,Midland,Midland,79705
Carlyle Police Dept,Local police department,IL,Clinton,Carlyle,62231
Coal Valley Police Dept,Local police department,IL,Rock Island,Coal Valley,61240
Folkston Police Department,Local police department,GA,Charlton,Folkston,31537
